0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,3,1
0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,4,3,1
0,0,2,4,0,0,0,2,0,0,0,4,0,0,0,4,0,1
0,0,2,4,0,0,0,2,0,0,0,8,0,2,0,0,0,1
0,2,2,4,0,0,0,2,0,0,2,8,0,0,0,0,0,1
0,2,4,4,0,2,0,2,0,0,0,8,0,0,0,0,1,1
0,0,0,0,0,0,0,4,0,2,0,2,0,4,4,8,2,1
0,0,0,0,4,0,0,0,4,0,0,0,8,8,0,2,3,1
0,0,0,0,2,0,0,4,0,0,0,4,0,0,16,2,3,1
0,0,0,0,0,0,2,4,0,0,0,4,2,0,16,2,3,1
0,0,2,0,0,0,2,4,0,0,0,4,0,2,16,2,3,1
0,0,0,2,0,0,2,4,0,0,0,4,2,2,16,2,0,1
2,2,2,2,0,0,16,8,0,2,0,2,0,0,0,0,3,1
2,0,4,4,0,0,16,8,0,0,0,4,0,0,0,0,2,1
2,8,0,0,16,8,0,0,4,0,0,0,2,0,0,0,1,1
2,2,0,0,16,0,0,0,4,0,0,0,2,16,0,0,1,1
2,0,0,0,16,0,2,0,4,2,0,0,2,16,0,0,2,1
2,0,0,0,16,2,2,0,4,2,0,0,2,16,0,0,1,1
2,2,0,0,16,0,0,0,4,4,0,0,2,16,2,0,0,1
2,2,2,0,16,4,0,0,4,16,2,0,2,0,0,0,2,1
